example_id                                             | status  | run_time        |
------------------------------------------------------ | ------- | --------------- |
./spec/controllers/recipes_controller_spec.rb[1:1:1:1] | passed  | 0.04159 seconds |
./spec/controllers/recipes_controller_spec.rb[1:1:1:2] | passed  | 0.04145 seconds |
./spec/controllers/recipes_controller_spec.rb[1:1:1:3] | passed  | 0.04178 seconds |
./spec/controllers/recipes_controller_spec.rb[1:1:1:4] | passed  | 0.04169 seconds |
./spec/controllers/recipes_controller_spec.rb[1:1:2:1] | passed  | 0.03682 seconds |
./spec/controllers/recipes_controller_spec.rb[1:2:1:1] | passed  | 0.03323 seconds |
./spec/controllers/recipes_controller_spec.rb[1:2:1:2] | passed  | 0.04002 seconds |
./spec/controllers/recipes_controller_spec.rb[1:2:1:3] | passed  | 0.03329 seconds |
./spec/controllers/recipes_controller_spec.rb[1:2:1:4] | passed  | 0.04041 seconds |
./spec/controllers/recipes_controller_spec.rb[1:2:2:1] | passed  | 0.00437 seconds |
./spec/controllers/recipes_controller_spec.rb[1:3:1]   | passed  | 0.03336 seconds |
./spec/controllers/recipes_controller_spec.rb[1:3:2]   | passed  | 0.0333 seconds  |
./spec/controllers/recipes_controller_spec.rb[1:3:3]   | passed  | 0.04145 seconds |
./spec/controllers/recipes_controller_spec.rb[1:4:1]   | passed  | 0.04158 seconds |
./spec/controllers/recipes_controller_spec.rb[1:4:2]   | passed  | 0.04159 seconds |
./spec/controllers/recipes_controller_spec.rb[1:4:3]   | passed  | 0.03335 seconds |
./spec/controllers/recipes_controller_spec.rb[1:5:1]   | passed  | 0.0335 seconds  |
./spec/controllers/recipes_controller_spec.rb[1:5:2]   | passed  | 0.03325 seconds |
./spec/features/edit_spec.rb[1:1]                      | passed  | 2.42 seconds    |
./spec/features/search_spec.rb[1:1]                    | passed  | 0.9028 seconds  |
./spec/features/view_spec.rb[1:1]                      | passed  | 5.05 seconds    |
./spec/models/recipe_spec.rb[1:1]                      | pending | 0.00001 seconds |
